,#agents,#cluster distance,#comm_protocol,#conv_protocol,#experts,#initial_connections,#isolates,#liars,#negatives,#neutrals,#news,#positives,#steps
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
0,100,0,CMO,discussion,5,2970,0,5,5,90,1,5,10000
